Key;Type;Desc;English;Vietnamese [vi]
Story/Temperance/Voiceline/Bruno1_4;Text;;I'm more scared of whatever’s out there in the snowstorm…;Trong cơn bão tuyết ngoài kia còn khiến tôi sợ nhiều thứ hơn.
Story/Temperance/Voiceline/Bruno2_1;Text;;There’s bears all over this frozen island!;Lũ gấu có mặt trên khắp hòn đảo băng giá này!
Story/Temperance/Voiceline/Bruno2_2;Text;;"One of them completely wrecked the boat when we tried to get away. ";Một trong số chúng đã làm hỏng hoàn toàn con thuyền khi chúng tôi cố gắng chạy trốn.
Story/Temperance/Voiceline/Bruno2_3;Text;;"None of the usual tricks worked either. ";"Không có mẹo nào hữu ích cả. "
Story/Temperance/Voiceline/Bruno2_4;Text;;"HENRY and I would have been eaten if that boy with the airhorn hadn’t showed up. ";"HENRY và tôi sẽ bị ăn thịt nếu cậu bé cầm còi không xuất hiện. "
Story/Temperance/Voiceline/Bruno2_5;Text;;His name is Detto. Says he came here with some survivors.;Tên cậu bé là Detto. Cậu ấy nói rằng đến đây với một số người sống sót khác.
Story/Temperance/Voiceline/Bruno2_6;Text;;I asked HENRY if I should trust the boy. But I didn’t get an answer.;Tôi hỏi HENRY liệu tôi có nên tin cậu bé không. Nhưng tôi không nhận được câu trả lời.
Story/Temperance/Voiceline/Bruno3_1;Text;;Detto showed me and HENRY some abandoned igloos.;Detto cho tôi và HENRY xem mấy cái lều tuyết bị bỏ hoang.
Story/Temperance/Voiceline/Bruno3_2;Text;;The boy got them open by fiddling with some cables? The big igloo is still shut though.;"Cậu bé đã mở chúng bằng cách loay hoay với mấy sợi dây cáp? Tuy nhiên cái Lều lớn vẫn kín bưng. "
Story/Temperance/Voiceline/Bruno3_3;Text;;I wonder what’s inside…;Tôi tự hỏi có gì bên trong…
Story/Temperance/Voiceline/Bruno3_4;Text;;Detto introduced me to a man named Ruben. He was hurt.;"Detto giới thiệu tôi với một người đàn ông tên là Ruben. Anh ấy đã bị thương. "
Story/Temperance/Voiceline/Bruno3_5;Text;;Looked like wounds from a bear attack, so I helped fix up the wounds.;Trông giống như những vết thương do bị gấu tấn công, vì vậy tôi đã anh ấy giúp băng bó vết thương.
Story/Temperance/Voiceline/Bruno3_6;Text;;Astrid used to fix up my wounds the same way. Where are you, sis?;Astrid đã từng chữa lành vết thương cho tôi theo cách tương tự. Chị đang ở đâu?
Story/Temperance/Voiceline/Bruno4_1;Text;;That kid Detto is really smart. Using material we salvaged, he was able to fix up my boat.;Đứa trẻ Detto đó thực sự rất thông minh. Sử dụng mấy vật liệu chúng tôi vớt được, cậu nhóc đã có thể sửa chữa thuyền của tôi.
Story/Temperance/Voiceline/Bruno4_2;Text;;Ruben is recovering too, but... he doesn’t seem to want to talk to me a lot.;Ruben cũng đang hồi phục, nhưng... anh ấy có vẻ không muốn nói chuyện nhiều.
Story/Temperance/Voiceline/Bruno4_3;Text;;Both of them stare whenever I talk to HENRY…?;Cả hai bọn họ đều nhìn chằm chằm bất cứ khi nào tôi nói chuyện với HENRY…?
Story/Temperance/Voiceline/Bruno4_4;Text;;HENRY doesn’t like the way they look at us. I think I need to do something.;HENRY không thích cách họ nhìn chúng tôi. Tôi nghĩ mình cần phải làm gì đó.
Story/Temperance/Voiceline/Bruno5_1;Text;;The boat is ready to go. Detto is ready with the airhorn, and Ruben can at least walk.;Chiếc thuyền đã sẵn sàng rồi. Detto cũng đã nghịch xong với cái còi hơi của cậu ấy, và Ruben ít nhất đã có thể đi bộ.
Story/Temperance/Voiceline/Bruno5_2;Text;;HENRY is staying behind. It’s bittersweet.;"HENRY đang ở phía sau. Buồn vui lẫn lộn. "
Story/Temperance/Voiceline/Bruno5_3;Text;;"He doesn’t speak with me anymore, but I think it’s safer for someone to stay behind. ";Anh ấy không nói chuyện với tôi nữa, nhưng tôi nghĩ có người ở lại sẽ an toàn hơn.
Story/Temperance/Voiceline/Bruno5_4;Text;;Detto says there’s a place with lots of people. Ruben says Astrid might be there.;Detto nói rằng có một nơi có rất nhiều người. Ruben nói Astrid cũng có thể ở đó.
Story/Temperance/Voiceline/Bruno5_5;Text;;She definitely isn’t here, in this cold place. It’s nice talking to people.;Cô ấy chắc chắn không có ở đây, ở cái nơi lạnh giá này. Thật tuyệt khi được nói chuyện với mọi người.
Story/Temperance/Voiceline/Sparrow1_1;Text;;I am called Sparrow. Whoever finds this, know that I held humanity’s interest first. Always.;Tôi tên là Sparrow. Bất cứ ai tìm thấy cái này, hãy biết rằng tôi luôn đặt lợi ích của nhân loại lên hàng đầu. LUÔN LUÔN.
Story/Temperance/Voiceline/Sparrow1_2;Text;;I was sent to Selene alongside two colleagues.;Tôi được gửi đến Selene cùng với hai đồng nghiệp.
Story/Temperance/Voiceline/Sparrow1_3;Text;;One of which I discovered was a mole by the ‘investors’.;Một trong số đó đã phát hiện ra tôi là gián điệp của 'đám chính trị gia'.
Story/Temperance/Voiceline/Sparrow1_4;Text;;Had Owl been allowed to come to Selene, the knowledge of this unlimited green energy would have been monopolized by the same people who caused this mess to begin with.;Nếu Owl được phép đến Selene, kiến thức về năng lượng xanh vĩnh cửu này sẽ bị độc quyền bởi chính những người đã gây ra mớ hỗn độn này.
Story/Temperance/Voiceline/Sparrow1_5;Text;;The other colleague… I left behind. I did not trust you, Cuckoo.;Còn người đồng nghiệp khác… tôi đã bỏ lại phía sau. Tôi không thể tin anh, Cuckoo.
Story/Temperance/Voiceline/Sparrow1_6;Text;;I couldn’t. It was too much of a risk. I hope you will forgive me.;Tôi không thể. Có quá nhiều rủi ro. Tôi hy vọng anh ấy sẽ tha thứ cho tôi.
Story/Temperance/Voiceline/Sparrow2_1;Text;;The Selene facility was built for one purpose: master and perfect the experimental reactors used to power the floating cities.;Phòng thí nghiệm Selene này được xây dựng cho một mục đích: Làm chủ và hoàn thiện các lò phản ứng thử nghiệm, được sử dụng để cung cấp năng lượng cho các thành phố nổi.
Story/Temperance/Voiceline/Sparrow2_2;Text;;No easy task. But it has been done. In theory.;Tuy không phải nhiệm vụ dễ dàng gì. Nhưng nó đã được thực hiện. Về mặt lý thuyết.
Story/Temperance/Voiceline/Sparrow2_3;Text;;"Yet we do not have the people to construct anything but a basic prototype. ";Tuy nhiên, chúng tôi không có đủ người để xây dựng bất cứ thứ gì ngoài một nguyên mẫu cơ bản.
Story/Temperance/Voiceline/Sparrow2_4;Text;;It can be built for real, I know it! We just need more people.;Nhưng nó có thể làm được thật, tôi biết điều đó! Chúng tôi chỉ cần thêm người thôi.
Story/Temperance/Voiceline/Sparrow2_5;Text;;"There’s a place where the rafters live in peace with any survivors of the old world. They call it Utopia. ";Có một nơi mà những người di cư trên bè có thể sống hòa bình tất cả mọi người sống sót khác trên toàn thế giới. Họ gọi nó là Utopia.
Story/Temperance/Voiceline/Sparrow2_6;Text;;"Maybe there we can begin to reverse the damage we’ve done. But we received a message from them yesterday. ";Có lẽ ở đó chúng ta có thể bắt đầu xây dựng lại một thế giới mới. Nhưng ngày hôm qua chúng tôi đã nhận được một tin nhắn từ họ.
Story/Temperance/Voiceline/Sparrow2_7;Text;;One of the ‘investors’ has taken control of the community. Olof Wilkstrom.;Một trong những 'nhà đầu tư' đã nắm quyền kiểm soát cộng đồng. Olof Wilkstrom.
Story/Temperance/Voiceline/Sparrow2_8;Text;;I fear his intentions with this potential Haven.;Tôi sợ ý định của ông ta sẽ làm hại nơi Utopia tiềm năng này.
Story/Utopia/Captives;Text;;"FROM THE PEOPLE OF UTOPIA

Do NOT trust Olof Wilkstrom. When he arrived here we took his word in good faith. He exploited us at every turn. Now all of us ‘dissenters’ are locked up. Which is everyone, by my count.

To anyone reading this, Olof should be up in the marketplace. BEWARE of his rabid beasts! Please, take the master key from him. Set us free! Set Utopia FREE!
~Hanne, Utopia Representative";"TỪ NHỮNG NGƯỜI DÂN UTOPIA

ĐỪNG tin Olof Wilkstrom. Khi ông ta đến đây, chúng tôi đã không ngần ngại tin lời ông ta. Ông ta lợi dụng chúng tôi mọi lúc mọi nơi. Bây giờ tất cả chúng tôi 'những người bất đồng chính kiến' đều bị nhốt. Tất cả mọi người, theo như tôi đếm.

Với bất kỳ ai đọc được điều này, Olof cũng có mặt trên đây. HÃY THẬN TRỌNG với những con thú hung dữ của ông ta! Làm ơn, hãy lấy chìa khóa chính từ ông ta. Giải cứu chúng tôi! Và GIẢI CỨU cả Utopia nữa!
~Hanne, Đại diện của Utopia"
Story/Utopia/DettoRaft;Text;;"DETTO'S UTOPIA JOURNAL -SUPER SECRET-

I have my own raft! And it’s hooked up to actual wind turbines! If I had even more power, just imagine all the experiments I could run… 

But now that lunatic Olof appeared.  His cages are already unloaded and now he’s promising to help everyone with his ‘army’. 

Last I saw him, Olof Wilkstrom ruined Caravan Town. I will NEVER forgive him! I hope Hanne and Ruben listen to me. He is not to be trusted!

Just in case I’ve decided to up the security on my raft. This map should allow only the SMARTEST of people to enter!

Like me!";"NHẬT KÝ UTOPIA CỦA DETTO -SIÊU BÍ MẬT-

Tôi có chiếc bè của riêng mình! Và nó được nối với các tua-bin gió! Nếu tôi có nhiều nguồn lực hơn nữa, hãy tưởng tượng tất cả các thí nghiệm mà tôi có thể làm…

Nhưng bây giờ tên điên Olof đó đã xuất hiện. Đống lồng của hắn ta đã được dỡ xuống và hắn ta hứa sẽ giúp đỡ mọi người bằng 'đội quân' của hắn.

Lần cuối tôi gặp hắn, Olof Wilkstrom đã hủy hoại Thị trấn Caravan. Tôi sẽ KHÔNG BAO GIỜ tha thứ cho hắn ta! Tôi hy vọng Hanne và Ruben lắng nghe tôi. Hắn ta không đáng tin.

Đề phòng hờ, tôi quyết định tăng cường an ninh cho chiếc bè của mình. Bản đồ này chỉ cho phép những người THÔNG MINH NHẤT có thể vào!

Giống như tôi!"
Story/Utopia/EndSlides;Text;;"When the ocean itself broke the Forward Scouts, the survivors were left with nothing.

Yet they persisted, rose up from nothing, defied our flooded world, and brought back hope.

Now Utopia stands free once again thanks to their actions.

With this final chance we can begin the slow and difficult road to recovery.

From today on, we are all Forward Scouts, ready to discover the next step for humanity.";"Khi chính thảm hoạ đại dương làm tan rã đội Hướng Đạo Sinh Trinh Sát, thì những người sống sót đó họ không còn gì cả.

Tuy nhiên, họ vẫn kiên trì, vẫn cố vươn lên từ con số không, dù rằng thế giới có đã bị ngập như thế nào, và điều đó mang lại hy vọng cho chúng ta.

Giờ đây, Utopia lại được tự do một lần nữa nhờ hành động của họ.

Với cơ hội cuối cùng này, chúng ta có thể bắt đầu con đường phục hồi dù chậm và nhiều khó khăn.

Kể từ hôm nay, tất cả chúng ta đều là Hướng Đạo Sinh như họ, sẵn sàng khám phá bước tiếp theo cho nhân loại."
Story/Utopia/Voiceline/AnnisaDialogue1;Text;;That was so scary!;Vừa rồi sợ thật đấy!
Story/Utopia/Voiceline/AnnisaDialogue2;Text;;I'm still a bit in shock.;Mình vẫn còn thấy sốc đây.
Story/Utopia/Voiceline/AnnisaDialogue3;Text;;Good job dealing with that Olof fellow.;Đối phó với gã Olof tốt đấy.
Story/Utopia/Voiceline/AnnisaDialogue4;Text;;Let’s make sure it doesn’t happen again, okay?;Nhừng đừng có để nó xảy ra thêm lần nào nữa nhé?
Story/Utopia/Voiceline/BrunoDialogue1;Text;;This Olof fellow doesn’t seem like the nicest type.;Gã Olof đó trông không phải là một người tốt.
Story/Utopia/Voiceline/BrunoDialogue10;Text;;I heard Hanne is organizing new ‘scouts’ for something. Maybe I’ll go? I could look for Astrid.;Tôi nghe nói Hanne đang 'trinh sát' một cái gì đó. Có lẽ tôi nên đi? Tôi có thể tìm Astrid.
Story/Utopia/Voiceline/BrunoDialogue11;Text;;I don’t like being alone. But sometimes all these people is a bit much.;Tôi không thích ở một mình. Nhưng thỉnh thoảng với những người này có lẽ là hơi nhiều.
Story/Utopia/Voiceline/BrunoDialogue12;Text;;At night I like looking out at the ocean. Suddenly I don’t feel so lonely anymore.;Vào ban đêm, tôi thích nhìn ra biển. Đột nhiên tôi không còn cảm thấy cô đơn nữa.
Story/Utopia/Voiceline/BrunoDialogue13;Text;;Hanne says if you like yourself you’ll never be lonely. I wonder if I can learn to do that.;Hanne bảo nếu bạn thích chính mình, bạn sẽ không bao giờ cô đơn. Tôi tự hỏi nếu tôi có thể học để làm điều đó không.
Story/Utopia/Voiceline/BrunoDialogue14_1;Text;;"Maybe I’ll go back to Balboa one day. Why? I… think I left someone behind. ";Có lẽ một ngày nào đó tôi sẽ quay lại Balboa, Tại sao à? Tôi nghĩ... tôi đã bỏ ai đó lại ở đó.
Story/Utopia/Voiceline/BrunoDialogue14_2;Text;;Several someones, in fact.;Trên thực tế, có rất nhiều người.
Story/Utopia/Voiceline/BrunoDialogue15;Text;;It was a long journey to get here. But look at this place! So many people!;Quả là một chuyến đi dài để đến được đây. Nhưng nhìn mà xem! Biết bao nhiêu người ở đây!
